region,age,gender,raceethnicity,cli,hh_cmnty_cli,period,trust_experts
CA,25-44,Male,NonHispanicMultipleOther,1.1527743,6.2687547,2021-06-01,46.305089925000004
CA,25-44,Male,NonHispanicWhite,0.6337415,5.6515329,2021-06-01,64.335412575
CA,25-44,Other,NonHispanicWhite,1.5460102,13.0870035,2021-06-01,63.942307674999995
CA,25-44,NotReported,Hispanic,2.5912408,11.0465116,2021-06-01,31.2590998
CA,45-64,Female,Hispanic,0.3630225,8.6997426,2021-06-01,54.7542311
CA,45-64,Female,NonHispanicAsian,0.1163222,7.4749774,2021-06-01,59.44237825
CA,45-64,Female,NonHispanicBlackAfricanAmerican,0.277558,5.2340025,2021-06-01,52.243227925
CA,45-64,Female,NonHispanicMultipleOther,0.1877459,8.3239937,2021-06-01,47.847424525
CA,45-64,Female,NonHispanicWhite,0.2306244,6.0462052,2021-06-01,62.637225375
CA,45-64,Female,NotReported,1.0757096,14.8297777,2021-06-01,48.758448425
CA,45-64,Male,Hispanic,0.3092767,8.6310266,2021-06-01,58.875073150000006
CA,45-64,Male,NonHispanicAsian,0.220075,7.1911198,2021-06-01,62.404253600000004
CA,45-64,Male,NonHispanicBlackAfricanAmerican,0.0,4.7505095,2021-06-01,55.713517375
CA,45-64,Male,NonHispanicMultipleOther,0.504454,7.597103,2021-06-01,40.2693397
CA,45-64,Male,NonHispanicWhite,0.3397747,5.0392676,2021-06-01,62.125673225
CA,45-64,Male,NotReported,0.8778976,15.7498995,2021-06-01,37.403872675
CA,45-64,NotReported,Hispanic,1.5469647,13.3591524,2021-06-01,42.601111025
CA,65plus,Female,Hispanic,0.1326812,8.1262174,2021-06-01,59.167205575
CA,65plus,Female,NonHispanicAsian,0.1363833,6.9806904,2021-06-01,64.7267558
CA,65plus,Female,NonHispanicBlackAfricanAmerican,0.2753632,5.9051117,2021-06-01,62.329189125
CA,65plus,Female,NonHispanicMultipleOther,0.0691553,8.6003928,2021-06-01,50.373405275
CA,65plus,Female,NonHispanicWhite,0.1027848,6.1037372,2021-06-01,65.372799
CA,65plus,Female,NotReported,0.0,8.1522979,2021-06-01,47.20384375
CA,65plus,Male,Hispanic,0.5158378,10.9429184,2021-06-01,62.595007824999996
CA,65plus,Male,NonHispanicAsian,0.2894028,6.7045873,2021-06-01,62.254865175
CA,65plus,Male,NonHispanicBlackAfricanAmerican,0.8518386,9.6002267,2021-06-01,64.5099966
CA,65plus,Male,NonHispanicMultipleOther,1.0048045,8.3154026,2021-06-01,50.0640778
CA,65plus,Male,NonHispanicWhite,0.0932826,6.0534007,2021-06-01,59.60854705
CA,65plus,Male,NotReported,0.0,9.6765707,2021-06-01,49.764663575
CA,NotReported,NotReported,NotReported,1.1952451,10.8137416,2021-06-01,50.947673775
CO,18-24,Female,NonHispanicWhite,0.1650039,17.0980061,2021-06-01,62.222222200000004
CO,25-44,Female,Hispanic,0.4059777,12.2857127,2021-06-01,50.523008825
CO,25-44,Female,NonHispanicMultipleOther,0.3257513,12.6262626,2021-06-01,60.63829785
CO,25-44,Female,NonHispanicWhite,0.2830959,9.5221996,2021-06-01,65.132244375
CO,25-44,Male,Hispanic,0.0777505,12.7767105,2021-06-01,50.2665801
CO,25-44,Male,NonHispanicWhite,0.5358536,9.3372288,2021-06-01,61.532588125000004
CO,45-64,Female,Hispanic,0.3595018,13.401107,2021-06-01,57.3266433
CO,45-64,Female,NonHispanicMultipleOther,1.0447992,12.8557272,2021-06-01,55.384615375
CO,45-64,Female,NonHispanicWhite,0.4005827,10.2015425,2021-06-01,65.8519514
CO,45-64,Male,Hispanic,0.0,9.0146229,2021-06-01,55.583333325
CO,45-64,Male,NonHispanicMultipleOther,3.4773663,20.8860759,2021-06-01,31.66666665
CO,45-64,Male,NonHispanicWhite,0.5253511,7.413953,2021-06-01,62.529060625
CO,65plus,Female,Hispanic,0.0,12.4950419,2021-06-01,58.791700649999996
CO,65plus,Female,NonHispanicWhite,0.2372371,9.6315339,2021-06-01,64.945300525
CO,65plus,Male,NonHispanicWhite,0.3876315,11.1835679,2021-06-01,58.030704225
CO,NotReported,NotReported,NotReported,1.1767607,11.2587779,2021-06-01,48.334214700000004
CT,18-24,Female,NonHispanicWhite,0.0,7.4712644,2021-06-01,61.585365875
CT,25-44,Female,Hispanic,0.522603,10.5133312,2021-06-01,45.4744369
CT,25-44,Female,NonHispanicWhite,0.8225436,7.1293051,2021-06-01,63.176802425
CT,25-44,Male,Hispanic,0.7362101,7.3422482,2021-06-01,59.31989065
CT,25-44,Male,NonHispanicWhite,1.2267176,5.3855917,2021-06-01,65.7239943
CT,45-64,Female,Hispanic,0.315591,7.4630935,2021-06-01,48.02073135
CT,45-64,Female,NonHispanicBlackAfricanAmerican,0.594812,7.9539956,2021-06-01,62.018578475
CT,45-64,Female,NonHispanicWhite,0.3199817,6.9122248,2021-06-01,64.28222665
CT,45-64,Male,Hispanic,0.8849833,10.9769153,2021-06-01,62.4611244
CT,45-64,Male,NonHispanicWhite,0.7738619,4.7278336,2021-06-01,60.579408
CT,65plus,Female,NonHispanicWhite,0.1826585,6.7806804,2021-06-01,65.0509922
CT,65plus,Male,NonHispanicWhite,0.0747272,4.9249907,2021-06-01,59.45843625
CT,NotReported,NotReported,NotReported,0.543994,8.9851391,2021-06-01,48.671137225
DC,25-44,Female,NonHispanicWhite,0.0,5.3777274,2021-06-01,76.33333335
DC,25-44,Male,NonHispanicWhite,0.0,2.6315789,2021-06-01,82.0652174
DE,25-44,Female,NonHispanicWhite,0.7841207,7.9302795,2021-06-01,61.29032255
DE,25-44,Male,NonHispanicWhite,0.2472605,5.7291667,2021-06-01,56.914893625
DE,45-64,Female,NonHispanicWhite,0.2171372,7.8487192,2021-06-01,61.732154075
DE,45-64,Male,NonHispanicWhite,0.0,6.75938,2021-06-01,53.318779375
DE,65plus,Female,NonHispanicWhite,0.0653437,8.6983608,2021-06-01,64.926831
DE,65plus,Male,NonHispanicWhite,0.1477523,4.1336829,2021-06-01,59.545374125
FL,18-24,Female,Hispanic,1.8098625,17.1368545,2021-06-01,57.89082255
FL,18-24,Female,NonHispanicWhite,0.9755163,13.0895918,2021-06-01,59.72602195
FL,18-24,Male,NonHispanicWhite,0.8156633,8.4124793,2021-06-01,50.990758125
FL,25-44,Female,Hispanic,0.8468706,13.8772536,2021-06-01,52.14255855
FL,25-44,Female,NonHispanicAsian,0.2780804,9.319012,2021-06-01,58.173076925000004
FL,25-44,Female,NonHispanicBlackAfricanAmerican,0.6364411,9.8614985,2021-06-01,43.232098525
FL,25-44,Female,NonHispanicMultipleOther,1.9141245,17.0600177,2021-06-01,48.3256621
FL,25-44,Female,NonHispanicWhite,0.70359,11.986111,2021-06-01,55.044821525
FL,25-44,Male,Hispanic,0.9553745,10.0750159,2021-06-01,50.546289925
FL,25-44,Male,NonHispanicBlackAfricanAmerican,0.7386569,14.0123428,2021-06-01,47.158469925
FL,25-44,Male,NonHispanicMultipleOther,0.3930021,9.6374873,2021-06-01,36.36363635
FL,25-44,Male,NonHispanicWhite,0.5524532,10.2651247,2021-06-01,53.452586100000005
FL,45-64,Female,Hispanic,0.831988,11.8226506,2021-06-01,58.76523145
FL,45-64,Female,NonHispanicAsian,0.0,8.6206897,2021-06-01,65.01868035
FL,45-64,Female,NonHispanicBlackAfricanAmerican,0.6835955,9.8119578,2021-06-01,52.829850074999996
FL,45-64,Female,NonHispanicMultipleOther,0.4994999,10.1715534,2021-06-01,42.333226575
FL,45-64,Female,NonHispanicWhite,0.5672641,9.7315387,2021-06-01,54.64163025
FL,45-64,Female,NotReported,0.3718325,13.6097769,2021-06-01,37.606047425
FL,45-64,Male,Hispanic,0.4340128,10.6839681,2021-06-01,57.558234775
FL,45-64,Male,NonHispanicBlackAfricanAmerican,0.9167931,9.3433153,2021-06-01,51.830616425
FL,45-64,Male,NonHispanicMultipleOther,0.0766669,8.1860532,2021-06-01,30.2633208
FL,45-64,Male,NonHispanicWhite,0.6120332,8.6209106,2021-06-01,46.8252262
FL,45-64,Male,NotReported,0.6451613,6.3953488,2021-06-01,38.6780754
FL,45-64,NotReported,NonHispanicWhite,0.0,9.2592593,2021-06-01,30.232558125
FL,65plus,Female,Hispanic,0.2610664,10.7170229,2021-06-01,61.21991375
FL,65plus,Female,NonHispanicBlackAfricanAmerican,0.36664,10.2177841,2021-06-01,57.2342277
FL,65plus,Female,NonHispanicMultipleOther,0.0,8.5533955,2021-06-01,39.2035512
FL,65plus,Female,NonHispanicWhite,0.1950613,7.9629047,2021-06-01,55.233223224999996
FL,65plus,Female,NotReported,0.5451087,8.9792935,2021-06-01,44.817408575
FL,65plus,Male,Hispanic,0.478155,12.6628415,2021-06-01,65.499318875
FL,65plus,Male,NonHispanicBlackAfricanAmerican,0.0,9.2076282,2021-06-01,63.249761625
FL,65plus,Male,NonHispanicMultipleOther,0.6259126,11.5637685,2021-06-01,37.12481925
FL,65plus,Male,NonHispanicWhite,0.389461,8.4703773,2021-06-01,48.64471815
FL,65plus,Male,NotReported,0.0,9.5793637,2021-06-01,39.11936935
FL,65plus,NotReported,NonHispanicWhite,0.0,12.0689655,2021-06-01,48.08626275
FL,NotReported,NotReported,NotReported,1.402093,12.8730373,2021-06-01,44.731109925
GA,18-24,Female,NonHispanicWhite,0.0,15.5461924,2021-06-01,59.76073315
GA,25-44,Female,Hispanic,1.6318053,10.0974736,2021-06-01,52.457159825
GA,25-44,Female,NonHispanicBlackAfricanAmerican,1.1963315,12.8815061,2021-06-01,41.94487275
GA,25-44,Female,NonHispanicMultipleOther,1.2046293,8.3431314,2021-06-01,37.842421925
GA,25-44,Female,NonHispanicWhite,0.5822022,11.3337229,2021-06-01,56.59258285
GA,25-44,Male,Hispanic,0.1191463,11.7805175,2021-06-01,45.249343275
GA,25-44,Male,NonHispanicBlackAfricanAmerican,1.6990725,6.9480714,2021-06-01,48.39934755
GA,25-44,Male,NonHispanicMultipleOther,0.0,8.6666667,2021-06-01,30.0
GA,25-44,Male,NonHispanicWhite,1.3101016,7.8213747,2021-06-01,50.149443425
GA,45-64,Female,Hispanic,0.8235344,9.8138816,2021-06-01,52.818566625
GA,45-64,Female,NonHispanicBlackAfricanAmerican,0.4558924,6.0138532,2021-06-01,51.052029775
GA,45-64,Female,NonHispanicMultipleOther,1.3092904,11.7086559,2021-06-01,41.298651425
GA,45-64,Female,NonHispanicWhite,0.518853,10.0947234,2021-06-01,50.785151975
GA,45-64,Male,Hispanic,0.4554499,9.5977346,2021-06-01,52.097222200000004
GA,45-64,Male,NonHispanicBlackAfricanAmerican,0.4076033,6.8540051,2021-06-01,64.62498715
GA,45-64,Male,NonHispanicMultipleOther,1.7029053,13.2311756,2021-06-01,42.9900085
GA,45-64,Male,NonHispanicWhite,0.1463047,6.1770623,2021-06-01,45.222114274999996
GA,65plus,Female,NonHispanicBlackAfricanAmerican,0.2847856,9.8756135,2021-06-01,55.046770875
GA,65plus,Female,NonHispanicWhite,0.3837812,9.0872414,2021-06-01,51.7474745
GA,65plus,Male,NonHispanicBlackAfricanAmerican,0.3055722,6.7881401,2021-06-01,61.44052705
GA,65plus,Male,NonHispanicWhite,0.0282423,8.9927229,2021-06-01,44.45817125
GA,NotReported,NotReported,NotReported,1.2429279,12.2253128,2021-06-01,41.863078975
HI,25-44,Female,NonHispanicWhite,1.0035856,9.4697753,2021-06-01,65.079365075
HI,45-64,Female,NonHispanicAsian,0.0,4.5454545,2021-06-01,58.832269225000005
HI,45-64,Female,NonHispanicWhite,0.1012686,5.6537828,2021-06-01,69.11972525
HI,45-64,Male,NonHispanicAsian,0.0,4.5,2021-06-01,65.99489795
HI,45-64,Male,NonHispanicWhite,0.0,7.7227176,2021-06-01,67.01073805
HI,65plus,Female,NonHispanicWhite,0.6282993,8.1001261,2021-06-01,66.129032275
HI,65plus,Male,NonHispanicWhite,0.0,3.128659,2021-06-01,63.060735875
IA,18-24,Female,NonHispanicWhite,1.1361813,13.4621753,2021-06-01,69.2857143
IA,25-44,Female,NonHispanicWhite,0.7838365,11.8953345,2021-06-01,58.883339675
IA,25-44,Male,NonHispanicWhite,1.0133651,9.1786773,2021-06-01,48.58498405
IA,45-64,Female,NonHispanicWhite,0.3575318,9.6868038,2021-06-01,57.891020925
IA,45-64,Male,NonHispanicWhite,0.476864,7.245876,2021-06-01,55.402080125
IA,65plus,Female,NonHispanicWhite,0.1255674,8.3803901,2021-06-01,60.073783649999996
IA,65plus,Male,NonHispanicWhite,0.135683,8.4098991,2021-06-01,57.446131924999996
ID,18-24,Female,NonHispanicWhite,0.1683502,20.9677419,2021-06-01,63.0952381
ID,25-44,Female,Hispanic,0.2469136,20.3947368,2021-06-01,40.47619045
ID,25-44,Female,NonHispanicWhite,1.3853548,15.2904422,2021-06-01,57.119096525
ID,25-44,Male,NonHispanicWhite,0.8395817,11.5914481,2021-06-01,43.454186125
ID,45-64,Female,NonHispanicWhite,0.1564231,11.2972827,2021-06-01,56.327724775
ID,45-64,Male,NonHispanicWhite,0.0304838,8.182782,2021-06-01,50.0907496
ID,65plus,Female,NonHispanicWhite,0.3722918,11.1277445,2021-06-01,56.867394375
ID,65plus,Male,NonHispanicWhite,0.0,10.0199984,2021-06-01,47.389010125
IL,18-24,Female,Hispanic,0.7549638,15.5103747,2021-06-01,68.2811555
IL,18-24,Female,NonHispanicWhite,0.0819526,10.4772759,2021-06-01,66.5488882
IL,18-24,Male,NonHispanicWhite,0.0,4.5100045,2021-06-01,54.71014495
IL,25-44,Female,Hispanic,0.3845392,9.7334377,2021-06-01,50.849626575
IL,25-44,Female,NonHispanicAsian,0.3782135,10.5054757,2021-06-01,64.717365975
IL,25-44,Female,NonHispanicBlackAfricanAmerican,0.4231133,9.962363,2021-06-01,42.804015025
IL,25-44,Female,NonHispanicMultipleOther,0.9882615,10.8448138,2021-06-01,50.86206895
IL,25-44,Female,NonHispanicWhite,0.5728455,10.2179956,2021-06-01,61.788973325
IL,25-44,Male,Hispanic,0.2646136,8.0514651,2021-06-01,59.94211815
IL,25-44,Male,NonHispanicAsian,0.2470549,4.8913043,2021-06-01,70.754716975
IL,25-44,Male,NonHispanicBlackAfricanAmerican,1.3319826,9.8129636,2021-06-01,51.701546
IL,25-44,Male,NonHispanicMultipleOther,0.2777778,15.3409091,2021-06-01,39.6799517
IL,25-44,Male,NonHispanicWhite,0.7117535,7.4950019,2021-06-01,60.00232645
IL,45-64,Female,Hispanic,0.3933603,8.4306258,2021-06-01,56.730989975
IL,45-64,Female,NonHispanicAsian,0.0,4.8913043,2021-06-01,65.523696275
IL,45-64,Female,NonHispanicBlackAfricanAmerican,0.5800145,8.3515381,2021-06-01,52.9677194
IL,45-64,Female,NonHispanicMultipleOther,0.0,7.5946844,2021-06-01,48.8520408
IL,45-64,Female,NonHispanicWhite,0.2284491,7.1491745,2021-06-01,61.4960288
IL,45-64,Male,Hispanic,0.4228129,10.3909075,2021-06-01,59.340714525
IL,45-64,Male,NonHispanicAsian,0.0,5.7692308,2021-06-01,71.6734694
IL,45-64,Male,NonHispanicBlackAfricanAmerican,0.4370208,8.1529381,2021-06-01,49.067655825
IL,45-64,Male,NonHispanicMultipleOther,2.1125712,5.5151508,2021-06-01,42.1724109
IL,45-64,Male,NonHispanicWhite,0.3765059,5.672495,2021-06-01,57.177669925000004
IL,65plus,Female,Hispanic,0.8951572,12.3762376,2021-06-01,53.59375
IL,65plus,Female,NonHispanicBlackAfricanAmerican,0.6081359,7.3072807,2021-06-01,63.706374225000005
IL,65plus,Female,NonHispanicWhite,0.1607399,8.1887906,2021-06-01,61.2065508
IL,65plus,Female,NotReported,0.0,9.8837209,2021-06-01,48.36058125
IL,65plus,Male,Hispanic,0.0,16.8918919,2021-06-01,61.6812522
IL,65plus,Male,NonHispanicBlackAfricanAmerican,0.0,6.6326531,2021-06-01,61.901146075
IL,65plus,Male,NonHispanicWhite,0.1816657,8.4418941,2021-06-01,56.132164175
IL,NotReported,NotReported,NotReported,0.8898905,11.2686999,2021-06-01,47.8641799
IN,18-24,Female,NonHispanicWhite,0.2495191,14.1943462,2021-06-01,62.838314999999994
IN,25-44,Female,Hispanic,0.9454316,13.5330972,2021-06-01,56.714610875000005
IN,25-44,Female,NonHispanicBlackAfricanAmerican,0.8927285,10.7519147,2021-06-01,48.436299399999996
IN,25-44,Female,NonHispanicWhite,0.6259761,11.1571211,2021-06-01,55.918289475
IN,25-44,Male,Hispanic,2.7859238,12.804878,2021-06-01,49.4318182
IN,25-44,Male,NonHispanicWhite,0.6211021,8.3281032,2021-06-01,50.66150875
IN,45-64,Female,Hispanic,0.7038893,15.8990367,2021-06-01,53.619314724999995
IN,45-64,Female,NonHispanicBlackAfricanAmerican,0.7210956,9.2805036,2021-06-01,45.833333325
IN,45-64,Female,NonHispanicMultipleOther,0.7751938,13.372093,2021-06-01,38.265306125
IN,45-64,Female,NonHispanicWhite,0.4034742,10.1030254,2021-06-01,54.555400625000004
IN,45-64,Male,Hispanic,1.0416667,11.1764706,2021-06-01,75.0
IN,45-64,Male,NonHispanicMultipleOther,0.0,8.9041096,2021-06-01,16.46341465
IN,45-64,Male,NonHispanicWhite,0.5555894,9.4084178,2021-06-01,47.35006755
IN,65plus,Female,NonHispanicWhite,0.4877651,10.1474219,2021-06-01,56.690737525
IN,65plus,Male,NonHispanicWhite,0.1567922,10.173813,2021-06-01,53.4198289
IN,NotReported,NotReported,NotReported,1.3928723,15.5123194,2021-06-01,52.991479125
KS,18-24,Female,NonHispanicWhite,0.6349218,13.7755102,2021-06-01,52.662627549999996
KS,25-44,Female,Hispanic,0.7087739,13.0208333,2021-06-01,60.638297875
KS,25-44,Female,NonHispanicWhite,0.6075803,11.2606176,2021-06-01,57.710431725
KS,25-44,Male,NonHispanicWhite,0.7709557,8.2669932,2021-06-01,56.8639015
KS,45-64,Female,Hispanic,0.5434783,10.4938272,2021-06-01,57.42464535
KS,45-64,Female,NonHispanicWhite,0.7807411,10.6329155,2021-06-01,58.656104725
KS,45-64,Male,NonHispanicWhite,0.5931219,9.2218324,2021-06-01,49.823903200000004
KS,65plus,Female,NonHispanicWhite,0.1543039,9.3035869,2021-06-01,60.118132175
KS,65plus,Male,NonHispanicWhite,0.4631494,10.2324326,2021-06-01,54.5783492
KY,18-24,Female,NonHispanicWhite,0.4352002,16.8395296,2021-06-01,54.561868975
KY,25-44,Female,NonHispanicWhite,0.4644786,13.2805427,2021-06-01,55.34933325
KY,25-44,Male,NonHispanicWhite,0.9662795,9.6318816,2021-06-01,51.654416075
KY,45-64,Female,NonHispanicBlackAfricanAmerican,0.0,15.6615944,2021-06-01,55.839447925
KY,45-64,Female,NonHispanicMultipleOther,0.0,13.7096774,2021-06-01,39.4308943
KY,45-64,Female,NonHispanicWhite,0.4791958,11.076409,2021-06-01,51.44387715
KY,45-64,Male,NonHispanicWhite,0.5134246,10.0551647,2021-06-01,49.337829925
KY,65plus,Female,NonHispanicWhite,0.1164775,8.450034,2021-06-01,56.3093566
KY,65plus,Male,NonHispanicWhite,0.6166375,9.4561231,2021-06-01,52.52027835
KY,NotReported,NotReported,NotReported,0.9534095,13.5878148,2021-06-01,45.014375924999996
LA,25-44,Female,Hispanic,0.9110211,13.0681818,2021-06-01,53.9681701
LA,25-44,Female,NonHispanicBlackAfricanAmerican,0.7620538,11.74047,2021-06-01,34.78398785
LA,25-44,Female,NonHispanicWhite,0.6550825,15.7019758,2021-06-01,52.035324974999995
LA,25-44,Male,NonHispanicWhite,1.4848292,10.5558569,2021-06-01,46.810187475
LA,45-64,Female,Hispanic,0.5704365,14.1975309,2021-06-01,56.80588725
LA,45-64,Female,NonHispanicBlackAfricanAmerican,0.7101283,10.7894875,2021-06-01,56.2023773
LA,45-64,Female,NonHispanicMultipleOther,0.5813953,13.5294118,2021-06-01,37.272727275
LA,45-64,Female,NonHispanicWhite,0.5812991,13.2074903,2021-06-01,45.6132336
LA,45-64,Male,NonHispanicBlackAfricanAmerican,0.2484236,12.3282556,2021-06-01,56.442466525
LA,45-64,Male,NonHispanicWhite,0.5039145,8.8214883,2021-06-01,39.596293875
LA,65plus,Female,NonHispanicBlackAfricanAmerican,0.4002223,11.9251766,2021-06-01,48.847417475
LA,65plus,Female,NonHispanicWhite,0.3330708,11.09421,2021-06-01,47.5305257
LA,65plus,Male,NonHispanicBlackAfricanAmerican,0.0,11.5,2021-06-01,65.1154891
LA,65plus,Male,NonHispanicWhite,0.5505347,7.1212979,2021-06-01,41.89679525
LA,NotReported,NotReported,NotReported,1.7062175,17.5480486,2021-06-01,47.13679245
MA,18-24,Female,NonHispanicWhite,0.0662917,10.098641,2021-06-01,66.4893617
MA,25-44,Female,Hispanic,0.8573264,9.371208,2021-06-01,53.71858335
MA,25-44,Female,NonHispanicAsian,0.0,7.0512821,2021-06-01,77.64953545
MA,25-44,Female,NonHispanicWhite,0.6050021,8.9360069,2021-06-01,66.6018923
MA,25-44,Male,Hispanic,0.1412541,10.820436,2021-06-01,53.28838985
MA,25-44,Male,NonHispanicWhite,1.3530495,5.9996994,2021-06-01,64.362942975
MA,45-64,Female,Hispanic,0.5859112,11.8756001,2021-06-01,57.1256274
MA,45-64,Female,NonHispanicWhite,0.3465187,6.7232596,2021-06-01,65.08263185
MA,45-64,Male,Hispanic,0.1485128,8.1933117,2021-06-01,59.158668675
MA,45-64,Male,NonHispanicWhite,0.1964897,5.4306687,2021-06-01,64.086632325
MA,65plus,Female,NonHispanicWhite,0.1057666,5.818851,2021-06-01,64.421193775
MA,65plus,Male,NonHispanicWhite,0.0,5.5662878,2021-06-01,66.86814584999999
MA,NotReported,NotReported,NotReported,1.2062857,10.9064583,2021-06-01,48.263236725
MD,18-24,Female,NonHispanicWhite,0.0,11.8536824,2021-06-01,66.455696225
MD,25-44,Female,Hispanic,0.7510642,8.3560934,2021-06-01,49.0763999
MD,25-44,Female,NonHispanicBlackAfricanAmerican,0.0,8.101325,2021-06-01,50.399301324999996
MD,25-44,Female,NonHispanicMultipleOther,1.0804922,7.0863954,2021-06-01,54.607791750000004
MD,25-44,Female,NonHispanicWhite,0.190722,7.8946979,2021-06-01,65.067440375
MD,25-44,Male,Hispanic,0.5952596,9.1524082,2021-06-01,51.206566875
MD,25-44,Male,NonHispanicBlackAfricanAmerican,0.0,3.5,2021-06-01,63.888888875
MD,25-44,Male,NonHispanicWhite,0.1850519,5.9102927,2021-06-01,66.837037825
MD,45-64,Female,Hispanic,0.4932703,9.2746682,2021-06-01,58.1976327
